CVE,total_rows,fn_count,fp_count,error_count,fn_ratio,fp_ratio,error_ratio
CVE-2022-45688,238,0,17,17,0.0,0.07142857142857142,0.07142857142857142
CVE-2022-45690,208,0,0,0,0.0,0.0,0.0
CVE-2022-45693,24,0,0,0,0.0,0.0,0.0
CVE-2023-1370,35,2,1,3,0.05714285714285714,0.02857142857142857,0.08571428571428572
CVE-2023-1436,24,0,0,0,0.0,0.0,0.0
CVE-2023-24163,208,0,0,0,0.0,0.0,0.0
CVE-2023-31582,44,23,0,23,0.5227272727272727,0.0,0.5227272727272727
CVE-2023-33962,34,19,0,19,0.5588235294117647,0.0,0.5588235294117647
CVE-2023-34453,249,0,0,0,0.0,0.0,0.0
CVE-2023-34454,83,0,3,3,0.0,0.03614457831325301,0.03614457831325301
CVE-2023-34455,166,88,0,88,0.5301204819277109,0.0,0.5301204819277109
CVE-2023-34610,139,0,0,0,0.0,0.0,0.0
CVE-2023-34620,13,4,0,4,0.3076923076923077,0.0,0.3076923076923077
CVE-2023-34624,29,0,0,0,0.0,0.0,0.0
CVE-2023-3894,53,0,0,0,0.0,0.0,0.0
CVE-2023-39010,38,5,0,5,0.13157894736842105,0.0,0.13157894736842105
CVE-2023-39020,17,0,0,0,0.0,0.0,0.0
CVE-2023-39685,13,0,0,0,0.0,0.0,0.0
CVE-2023-4043,14,0,0,0,0.0,0.0,0.0
CVE-2023-41034,57,32,0,32,0.5614035087719298,0.0,0.5614035087719298
CVE-2023-42276,209,0,0,0,0.0,0.0,0.0
CVE-2023-42278,208,1,0,1,0.004807692307692308,0.0,0.004807692307692308
CVE-2023-42503,35,0,0,0,0.0,0.0,0.0
CVE-2023-43642,166,0,0,0,0.0,0.0,0.0
CVE-2023-49093,33,0,0,0,0.0,0.0,0.0
CVE-2023-49250,48,0,0,0,0.0,0.0,0.0
CVE-2023-50572,31,0,0,0,0.0,0.0,0.0
CVE-2023-5072,30,0,0,0,0.0,0.0,0.0
CVE-2023-51074,48,0,15,15,0.0,0.3125,0.3125
CVE-2023-51075,417,7,0,7,0.016786570743405275,0.0,0.016786570743405275
CVE-2023-51080,209,0,0,0,0.0,0.0,0.0
CVE-2023-52428,301,1,0,1,0.0033222591362126247,0.0,0.0033222591362126247
CVE-2023-7272,14,0,0,0,0.0,0.0,0.0
CVE-2024-1597,197,50,0,50,0.25380710659898476,0.0,0.25380710659898476
CVE-2024-22257,267,29,0,29,0.10861423220973783,0.0,0.10861423220973783
CVE-2024-23635,36,2,0,2,0.05555555555555555,0.0,0.05555555555555555
CVE-2024-23833,27,0,17,17,0.0,0.6296296296296297,0.6296296296296297
CVE-2024-25125,8,0,0,0,0.0,0.0,0.0
CVE-2024-25710,35,0,0,0,0.0,0.0,0.0
CVE-2024-26308,35,0,0,0,0.0,0.0,0.0
CVE-2024-31860,19,0,4,4,0.0,0.21052631578947367,0.21052631578947367
